Datetime,open_time,open,high,low,close,volume
2024-04-10 02:43:00,1712688180000,68848.86,68908.0,68848.86,68907.99,5.5329
2024-04-10 02:44:00,1712688240000,68908.0,68908.11,68877.83,68877.84,5.31535
2024-04-10 02:45:00,1712688300000,68877.83,68899.66,68848.13,68898.23,11.7559
2024-04-10 02:46:00,1712688360000,68898.22,68917.64,68840.54,68867.93,10.46037
2024-04-10 02:47:00,1712688420000,68867.93,68891.99,68834.23,68891.99,19.77423
2024-04-10 02:48:00,1712688480000,68891.99,68950.0,68891.98,68944.0,13.78196
2024-04-10 02:49:00,1712688540000,68944.0,68944.01,68900.0,68900.0,15.14317
2024-04-10 02:50:00,1712688600000,68900.01,68912.9,68852.63,68860.0,17.03784
2024-04-10 02:51:00,1712688660000,68859.99,68863.42,68856.05,68860.0,8.84545
2024-04-10 02:52:00,1712688720000,68860.0,68861.63,68856.23,68860.01,9.55166
2024-04-10 02:53:00,1712688780000,68860.0,68887.7,68814.17,68860.0,25.26564
2024-04-10 02:54:00,1712688840000,68860.0,68873.46,68840.99,68873.46,11.83272
2024-04-10 02:55:00,1712688900000,68873.46,68900.0,68873.45,68889.53,10.03911
2024-04-10 02:56:00,1712688960000,68889.53,68897.38,68880.0,68886.89,8.05015
2024-04-10 02:57:00,1712689020000,68886.89,68898.59,68880.02,68884.01,7.96799
2024-04-10 02:58:00,1712689080000,68884.01,68901.31,68882.1,68901.3,4.27916
2024-04-10 02:59:00,1712689140000,68901.31,68901.31,68876.0,68879.23,6.54928
2024-04-10 03:00:00,1712689200000,68879.22,68879.23,68785.8,68785.8,48.60384
2024-04-10 03:01:00,1712689260000,68785.81,68800.0,68736.04,68739.99,32.3505
2024-04-10 03:02:00,1712689320000,68739.99,68742.87,68720.37,68720.37,28.24266
2024-04-10 03:03:00,1712689380000,68720.38,68784.0,68656.08,68784.0,30.86911
2024-04-10 03:04:00,1712689440000,68783.99,68809.36,68764.52,68809.36,13.94123
2024-04-10 03:05:00,1712689500000,68809.36,68830.0,68784.13,68829.99,17.74911
2024-04-10 03:06:00,1712689560000,68829.99,68849.99,68793.83,68793.85,19.79647
2024-04-10 03:07:00,1712689620000,68793.86,68819.96,68772.97,68772.97,17.03149
2024-04-10 03:08:00,1712689680000,68772.97,68805.56,68757.61,68800.01,14.87489
2024-04-10 03:09:00,1712689740000,68800.0,68805.55,68758.25,68783.99,16.98661
2024-04-10 03:10:00,1712689800000,68783.99,68805.56,68746.96,68746.97,10.85512
2024-04-10 03:11:00,1712689860000,68746.97,68758.61,68711.94,68711.95,11.42314
2024-04-10 03:12:00,1712689920000,68711.95,68766.85,68711.94,68720.44,10.94568
2024-04-10 03:13:00,1712689980000,68720.43,68734.06,68712.01,68729.74,6.86895
2024-04-10 03:14:00,1712690040000,68729.74,68757.53,68721.13,68721.13,11.77346
2024-04-10 03:15:00,1712690100000,68721.14,68756.55,68721.13,68756.55,7.85416
2024-04-10 03:16:00,1712690160000,68756.54,68799.99,68740.0,68768.89,10.91574
2024-04-10 03:17:00,1712690220000,68768.9,68791.72,68764.17,68772.33,8.08637
2024-04-10 03:18:00,1712690280000,68772.33,68784.0,68746.62,68770.88,7.50756
2024-04-10 03:19:00,1712690340000,68770.87,68835.99,68770.87,68835.98,12.42641
2024-04-10 03:20:00,1712690400000,68835.99,68835.99,68750.28,68750.29,25.64974
2024-04-10 03:21:00,1712690460000,68750.28,68787.58,68750.0,68776.0,14.85844
2024-04-10 03:22:00,1712690520000,68776.0,68873.46,68775.99,68873.46,14.91956
2024-04-10 03:23:00,1712690580000,68873.45,68960.0,68873.45,68938.11,18.77658
2024-04-10 03:24:00,1712690640000,68938.1,68964.67,68925.1,68925.1,9.02978
2024-04-10 03:25:00,1712690700000,68925.11,68950.74,68908.1,68950.74,18.92913
2024-04-10 03:26:00,1712690760000,68950.73,69032.78,68950.73,69032.01,22.87241
2024-04-10 03:27:00,1712690820000,69032.01,69064.99,69029.0,69056.0,23.72102
2024-04-10 03:28:00,1712690880000,69056.0,69115.38,69055.99,69088.0,33.06314
2024-04-10 03:29:00,1712690940000,69088.01,69174.0,69084.8,69118.36,46.94721
2024-04-10 03:30:00,1712691000000,69118.35,69128.93,69050.0,69050.0,30.16572
2024-04-10 03:31:00,1712691060000,69050.01,69139.73,69050.0,69090.01,25.53959
2024-04-10 03:32:00,1712691120000,69090.0,69139.73,69076.0,69112.46,46.47512
2024-04-10 03:33:00,1712691180000,69112.47,69120.0,69061.44,69084.0,17.46844
2024-04-10 03:34:00,1712691240000,69083.99,69084.0,69018.19,69040.0,20.21725
2024-04-10 03:35:00,1712691300000,69040.0,69049.06,69027.99,69038.6,12.36783
2024-04-10 03:36:00,1712691360000,69038.6,69038.61,69014.48,69030.82,10.6952
2024-04-10 03:37:00,1712691420000,69030.81,69036.0,69014.48,69014.49,7.42502
2024-04-10 03:38:00,1712691480000,69014.49,69020.01,68963.33,68972.0,10.41942
2024-04-10 03:39:00,1712691540000,68971.99,68996.0,68933.63,68933.63,11.66553
2024-04-10 03:40:00,1712691600000,68933.64,68971.42,68933.63,68956.85,6.02005
2024-04-10 03:41:00,1712691660000,68956.84,68995.73,68930.51,68930.51,13.17402
2024-04-10 03:42:00,1712691720000,68930.52,68938.06,68930.51,68931.17,5.69548
2024-04-10 03:43:00,1712691780000,68931.16,68938.07,68924.27,68924.28,6.82923
2024-04-10 03:44:00,1712691840000,68924.28,68984.68,68924.27,68984.68,10.31489
2024-04-10 03:45:00,1712691900000,68984.68,69009.46,68962.0,68962.0,10.24506
2024-04-10 03:46:00,1712691960000,68962.0,68996.0,68962.0,68984.01,4.43178
2024-04-10 03:47:00,1712692020000,68984.01,68996.86,68965.49,68996.86,30.43953
2024-04-10 03:48:00,1712692080000,68996.85,69000.0,68944.96,68944.97,11.69274
2024-04-10 03:49:00,1712692140000,68944.96,68961.11,68915.43,68961.1,9.91893
2024-04-10 03:50:00,1712692200000,68961.1,68961.11,68880.0,68911.99,12.86233
2024-04-10 03:51:00,1712692260000,68912.0,68912.0,68872.01,68888.0,12.50754
2024-04-10 03:52:00,1712692320000,68888.0,68891.32,68866.29,68871.99,15.7178
2024-04-10 03:53:00,1712692380000,68871.99,68976.78,68871.99,68969.34,27.27414
2024-04-10 03:54:00,1712692440000,68969.34,69020.0,68964.71,68980.01,11.45759
2024-04-10 03:55:00,1712692500000,68980.01,69025.98,68980.0,68993.55,10.01276
2024-04-10 03:56:00,1712692560000,68993.54,69000.0,68984.41,68984.43,7.50348
2024-04-10 03:57:00,1712692620000,68984.43,69011.62,68984.41,69000.0,12.22314
2024-04-10 03:58:00,1712692680000,68999.99,69116.23,68999.99,69116.23,20.72335
2024-04-10 03:59:00,1712692740000,69116.23,69139.72,69000.77,69000.77,39.74414
2024-04-10 04:00:00,1712692800000,69000.78,69043.25,68962.31,69029.93,22.00487
2024-04-10 04:01:00,1712692860000,69029.93,69077.03,69029.93,69077.02,8.76415
2024-04-10 04:02:00,1712692920000,69077.02,69164.0,69077.02,69161.35,31.82338
2024-04-10 04:03:00,1712692980000,69161.35,69161.36,69088.1,69090.74,45.84381
2024-04-10 04:04:00,1712693040000,69090.73,69114.9,69088.52,69109.72,9.45468
2024-04-10 04:05:00,1712693100000,69109.71,69109.72,69075.16,69095.88,9.91779
2024-04-10 04:06:00,1712693160000,69095.87,69130.44,69090.4,69108.0,14.61565
2024-04-10 04:07:00,1712693220000,69108.0,69108.91,69084.48,69087.99,29.96626
2024-04-10 04:08:00,1712693280000,69087.99,69088.0,69070.77,69070.77,3.15245
2024-04-10 04:09:00,1712693340000,69070.78,69070.78,69064.31,69070.77,4.83287
2024-04-10 04:10:00,1712693400000,69070.76,69079.0,69070.76,69079.0,11.50505
2024-04-10 04:11:00,1712693460000,69079.0,69086.0,69052.23,69063.9,14.41268
2024-04-10 04:12:00,1712693520000,69063.89,69086.0,69063.89,69086.0,12.74328
2024-04-10 04:13:00,1712693580000,69085.99,69120.0,69085.99,69089.15,44.06681
2024-04-10 04:14:00,1712693640000,69089.14,69108.0,69056.0,69108.0,13.30566
